454 Software Release, 2.0.01.12

dateOfFile, 2009/07/30 14:26:52
runName,R_2009_07_30_14_26_52_FLX12080469_Administrator_714003
analysisName,D_2009_07_31_08_45_30_flxcluster_fullProcessing_714003
PTPType,unknown
PTPBarCode,714003
analysisType,<analysisType goes here>
numberOfRegions,2
numberOfCycles,-1
flowOrder,<flowOrder goes here>

region,1
rawWells,1039324
keyPassWells,1020209

keySequence,CATG
keyPassWells,9825
keySignalPerBase,326.318000,141.319000
ppi,1,438.619000,91.023200
ppi,2,243.557000,48.668400
ppi,3,197.498000,42.995300

singletA,0.996819,0.202367
singletT,0.995214,0.168574
singletG,1.021230,0.194258
singletC,1.018130,0.180518
singletN,1.009250,0.187026

sequence,all
Accuracy,Length,Percent of keypass,Number of wells
100.000000,100,62.666667,6157
99.000000,100,79.501272,7811
98.000000,100,84.356234,8288
95.000000,100,88.793893,8724
80.000000,100,94.737913,9308
100.000000,150,57.282443,5628
99.000000,150,75.908397,7458
98.000000,150,84.193384,8272
95.000000,150,88.111959,8657
80.000000,150,94.208651,9256
100.000000,200,51.501272,5060
99.000000,200,78.167939,7680
98.000000,200,83.022901,8157
95.000000,200,87.389313,8586
80.000000,200,93.842239,9220
100.000000,250,44.865140,4408
99.000000,250,74.534351,7323
98.000000,250,81.964377,8053
95.000000,250,86.422392,8491
80.000000,250,92.966921,9134
100.000000,300,26.737913,2627
99.000000,300,71.877863,7062
98.000000,300,79.694656,7830
95.000000,300,85.424936,8393
80.000000,300,92.132316,9052
100.000000,350,19.368957,1903
99.000000,350,57.445293,5644
98.000000,350,68.376590,6718
95.000000,350,75.063613,7375
80.000000,350,91.277354,8968
100.000000,400,10.819338,1063
99.000000,400,50.493639,4961
98.000000,400,61.933842,6085
95.000000,400,71.653944,7040
80.000000,400,89.791349,8822

sequence,AVTF120
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,77.385378,1249
99.000000,100,85.873606,1386
98.000000,100,89.714994,1448
95.000000,100,94.052045,1518
80.000000,100,100.000000,1614
100.000000,150,57.675575,928
99.000000,150,82.100684,1321
98.000000,150,89.745183,1444
95.000000,150,93.847110,1510
80.000000,150,100.000000,1609
100.000000,200,56.164384,902
99.000000,200,85.305106,1370
98.000000,200,89.476961,1437
95.000000,200,93.960149,1509
80.000000,200,100.000000,1606
100.000000,250,47.553325,758
99.000000,250,81.493099,1299
98.000000,250,89.146801,1421
95.000000,250,93.789210,1495
80.000000,250,100.000000,1594
100.000000,300,16.614024,263
99.000000,300,71.320278,1129
98.000000,300,86.102337,1363
95.000000,300,93.114340,1474
80.000000,300,100.000000,1583
100.000000,350,15.913431,250
99.000000,350,68.045831,1069
98.000000,350,85.677912,1346
95.000000,350,92.616168,1455
80.000000,350,100.000000,1571
100.000000,400,5.141388,80
99.000000,400,62.275064,969
98.000000,400,81.041131,1261
95.000000,400,91.838046,1429
80.000000,400,100.000000,1556

sequence,AVTF100
Accuracy,Length,Percent of mapped,Number of wells
100.000000,100,62.657343,896
99.000000,100,79.930070,1143
98.000000,100,85.734266,1226
95.000000,100,90.629371,1296
80.000000,100,100.000000,1430
100.000000,150,59.225352,841
99.000000,150,77.112676,1095
98.000000,150,85.985915,1221
95.000000,150,91.056338,1293
80.000000,150,100.000000,1420
100.000000,200,57.850071,818
99.000000,200,81.117397,1147
98.000000,200,86.562942,1224
95.000000,200,91.159830,1289
80.000000,200,100.000000,1414
100.000000,250,43.914591,617
99.000000,250,75.729537,1064
98.000000,250,84.412811,1186
95.000000,250,90.889680,1277
80.000000,250,100.000000,1405
100.000000,300,0.000000,0
